QUESTION,BT LEVEL,Processed Question,Prediction (Naïve Bayes),Prediction (Random Forest),Prediction (SVM)
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,Evaluation,evalu the three specif effect caus by the applic of inform technolog on the natur of competition.,Analyze,Analyze,Analyze
"Advise the five steps, as recommended by Porter and Millar, that can be applied by business managers in taking advantage of information technology.",Synthesis,"advis the five steps, a recommend by porter and millar, that can be appli by busi manag in take advantag of inform technology.",Apply,Evaluate,Apply
Winer (2001) proposes a 7-component Customer Relationship Management (CRM) Model as a framework to implement a successful CRM program. Evaluate each of the seven components of the CRM Model.,Evaluation,winer (2001) propos a 7-compon custom relationship manag (crm) model a a framework to implement a success crm program. evalu each of the seven compon of the crm model.,Apply,Apply,Apply
"Davenport (2000) discusses four emerging trends to be considered in designing future enterprise systems. Analyze each emerging trend, its relevance and importance to the designing of future enterprise systems.",Analysis,"davenport (2000) discuss four emerg trend to be consid in design futur enterpris systems. analyz each emerg trend, it relev and import to the design of futur enterpris systems.",Create,Create,Create
Apply SWOT analysis in education environment and discuss its impact in the revenue analysis.,Application,appli swot analysi in educ environ and discu it impact in the revenu analysis.,Understand,Apply,Understand
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,Evaluation,alavi and leidner (2001) examin how inform technolog (it) can be a key enabl in support four organiz knowledg manag (km) processes. critic assess the role of it in support the four km processes.,Evaluate,Evaluate,Analyze
PERCEPTION STUDIES based on SURVEY METHOD are useful and common in both academic and market research. Critically evaluate the strategies used  in data collection that can increase the response rate when conducting a survey.,Evaluation,percept studi base on survey method are use and common in both academ and market research. critic evalu the strategi use in data collect that can increas the respons rate when conduct a survey.,Analyze,Apply,Apply
Critically review how a shift in the mental model with a different set of assumptions could change Yahoo.,Evaluation,critic review how a shift in the mental model with a differ set of assumpt could chang yahoo.,Analyze,Remember,Analyze
"With reference  to the case, evaluate the similarities  and differences  between  open mindedness and mental models.",Evaluation,"with refer to the case, evalu the similar and differ between open minded and mental models.",Analyze,Analyze,Analyze
Leaders  often  face  a  dilemma  because  of  a  perceived  conflict  between  the realm of business and the realm of ethics. Compare the characteristics  of leaders who follow a strict rational  self-interest  approach  with  those  who take an ethical approach.,Analysis,leader often face a dilemma becaus of a perceiv conflict between the realm of busi and the realm of ethics. compar the characterist of leader who follow a strict ration self-interest approach with those who take an ethic approach.,Analyze,Understand,Analyze
Evaluate the appropriateness of drugs advertising by the pharmaceutical firms.,Evaluation,evalu the appropri of drug advertis by the pharmaceut firms.,Analyze,Analyze,Analyze
Distinguish clearly between power and authority.,Analysis,distinguish clearli between power and authority.,Analyze,Analyze,Analyze
Evaluate the types of power Benjamin Fang is exercising in Sun Plantations and explain how this is being eroded by the changes taking place in the environment.,Evaluation,evalu the type of power benjamin fang is exercis in sun plantat and explain how thi is be erod by the chang take place in the environment.,Understand,Evaluate,Understand
Discuss the extent to which the existence of a conflict between a company's objectives is acceptable.,Evaluation,discu the extent to which the exist of a conflict between a company' object is acceptable.,Understand,Understand,Understand
Discuss and show the impact of CRM strategies in the telecommunication sector.,Application,discu and show the impact of crm strategi in the telecommun sector.,Understand,Understand,Understand
"Discuss the extent to which it is feasible for a company to 'operationalise' its social responsibility Spirations, that is, whether it is possible to bring these considerations into strategic decision-making in a programmed or systematic way.",Evaluation,"discu the extent to which it is feasibl for a compani to 'operationalise' it social respons spirations, that is, whether it is possibl to bring these consider into strateg decision-mak in a program or systemat way.",Understand,Understand,Understand
"Identify and recommend any appropriate amendments to the proposal presented in order to rectify the errors made in estimating the company's current cost of capital and current value. For each of the revisions, explain the reasons why it should be amended.",Evaluation,"identifi and recommend ani appropri amend to the propos present in order to rectifi the error made in estim the company' current cost of capit and current value. for each of the revisions, explain the reason whi it should be amended.",Evaluate,Understand,Analyze
"Recommend with justification, a value or range of values to the Board of Directors for the acquisition of ESL Berhad.",Evaluation,"recommend with justification, a valu or rang of valu to the board of director for the acquisit of esl berhad.",Evaluate,Evaluate,Evaluate
